,ORG_NOME,PAPP_COD,PAPP_NOME,PAPP_PN,APAA_CODI,APAA_DATA,APAA_STATUS
37383,C&D ZODIAC,3544,AFT Attendant Seat (FWD Facing),41142001-145,,,
37384,C&D ZODIAC,3545,FWD Attendant  Seat (AFT Facing),41131001-183,,,
37385,C&D ZODIAC,3546,FWD Attendant  Seat (AFT Facing),41131001-191,,,
37386,C&D ZODIAC,3547,AFT Attendant Seat (AFT Facing),41131001-185,,,
37387,C&D ZODIAC,3548,AFT Attendant Seat (AFT Facing),41131001-193,,,
37388,C&D ZODIAC,3549,Double Standard Seat Assembly,41192030-101,,,
37389,C&D ZODIAC,3550,Double Standard Seat Assembly,41192030-102,,,
37390,C&D ZODIAC,3551,Double FWD Exit Seat  Assembly,41192030-103,,,
37391,C&D ZODIAC,3552,Double FWD Exit Seat  Assembly,41192030-104,,,
37392,C&D ZODIAC,3553,Double AFT Exit Seat  Assembly,41192030-105,,,
37393,C&D ZODIAC,3554,Double AFT Exit Seat  Assembly,41192030-106,,,
37394,C&D ZODIAC,3555,Double Last Row Seat  Assembly,41192030-107,,,
37395,C&D ZODIAC,3556,Double Last Row Seat  Assembly,41192030-108,,,
37396,C&D ZODIAC,3557,Double Front  Row Seat  Assembly,41202030-101,,,
37397,C&D ZODIAC,3558,Double Front  Row Seat  Assembly,41202030-102,,,
37398,C&D ZODIAC,3561,Standart Bottom Cushion Assembly,41191142-553,,,
37399,C&D ZODIAC,3562,Double Standard Seat Assembly,41192031-101,,,
37400,C&D ZODIAC,3563,Double Standard Seat Assembly,41192031-102,,,
37401,C&D ZODIAC,3564,Double FWD Exit Seat  Assembly,41192031-103,,,
37402,C&D ZODIAC,3565,Double FWD Exit Seat  Assembly,41192031-104,,,
37403,C&D ZODIAC,3566,Double AFT Exit Seat  Assembly,41192031-105,,,
37404,C&D ZODIAC,3567,Double AFT Exit Seat  Assembly,41192031-106,,,
37405,C&D ZODIAC,3568,Double Last Row Seat  Assembly,41192031-107,,,
37406,C&D ZODIAC,3569,Double Last Row Seat  Assembly,41192031-108,,,
37407,C&D ZODIAC,3570,Double Y-Belt  Seat  Assembly,41192031-111,,,
37408,C&D ZODIAC,3571,Double Y-Belt  Seat  Assembly,41192031-112,,,
37409,C&D ZODIAC,3572,"Double Y-Belt, Sliding Foodtray Seat  Assembly",41192031-113,,,
37410,C&D ZODIAC,3573,"Double Y-Belt, Sliding Foodtray Seat  Assembly",41192031-114,,,
37411,C&D ZODIAC,3574,Double Front  Row Seat  Assembly,41202031-101,,,
37412,C&D ZODIAC,3575,Double Front  Row Seat  Assembly,41202031-102,,,
37413,C&D ZODIAC,3582,Standart Bottom Cushion Assembly,41191142-555,,,
37414,C&D ZODIAC,3583,Standart Bottom Cushion Assembly,41121012-505,,,
37415,C&D ZODIAC,3584,"Side Mounted Attendant Seat , AFT Facing",41162001-105,,,
37416,C&D ZODIAC,3585,Double Last Row Seat  Assembly,41192018-107,,,
37417,C&D ZODIAC,3586,Double Standard ,41122005-101,,,
37418,C&D ZODIAC,3587,Double Standard ,41122005-102,,,
